Designator,Mid X,Mid Y,Rotation,Layer
C1,54.325,-37.91,0.0,top
C2,54.325,-39.47,0.0,top
C3,61.075,-39.23,0.0,top
C4,61.075,-40.78,0.0,top
C5,63.008008,-36.84,45.0,top
C6,64.231302,-38.063295,45.0,top
C7,62.320619,-45.206775,115.0,top
C8,76.413707,-38.63506,115.0,top
R1,42.950161,-32.08,315.0,top
R2,40.826636,-34.199368,315.0,top
R3,52.25,-29.46,270.0,top
R4,49.25,-29.46,270.0,top
R5,44.332817,-43.587109,250.0,top
R6,47.151895,-44.613169,250.0,top
R7,57.457002,-48.263921,250.0,top
R8,54.637924,-47.237861,250.0,top
SW1,69.42575740107095,-30.445150184404127,149.6,top
U1,49.81,-36.91,0.0,top
U2,58.5,-36.06,180.0,top
USB1,38.5,-29.3925,225.0,top
USB2,51.0,-24.5,180.0,top
USB3,43.784719,-48.747749,340.0,top
USB4,54.046983,-52.497307,340.0,top
USB5,68.9475976754697,-51.13667944459749,25.0,top
USB6,83.0406856754697,-44.56496444459749,25.0,top
